vardekod,vardebenamning
651,"SJUKSKÖTERSKEUTBILDNING MED SPEC UTBILDNING/VIDAREUTBILDNING (vidareutbildning fr o m 1969/70) SAMT HÄLSOOCH SJUKVÅRDSLINJEN FR O M 1983 (OBS yrkesexamen f.o.m. 1993, omfattande 120 poäng, kodas på 663)"
652,UTBILDNING FÖR SOCIAL SERVICE
653,"REHABILITERINGSUTBILDNING SJUK GYMNASTIK  (OBS yrkesexamen f.o.m. 1993, omfattande 120 poäng, kodas på 663)"
654,"REHABILITERINGSUTBILDNING ARBETSTERAPI  (OBS yrkesexamen f.o.m. 1993, omfattande 120 poäng, kodas på 663)"
655,RECEPTARIEUTBILDNING OCH  FARM KAND
656,"ÄLDRE MED ODONT OCH VET MED KAND UTBILDNINGAR, SAMT KURSER INOM MEDICIN, HÄLSOOCH SJUKVÅRD OM MINST 20 POÄNG.  HÖGSKOLEEXAMEN (generell examen om minst 80 poäng f.o.m. 1993) kod 65640."
657,"UTBILDNING FÖR OPERATIONSSJUK VÅRD, ÖGONSJUKVÅRD, DIAGNOSTIK, RADIOLOGI, ONKOLOGI. HÖRSELVÅRDSLINJEN SAMT LABORATORIEASSISTENTLINJEN.  ("
658,ORTOPEDTEKNISK OCH ANNAN HITHÖRANDEUTBILDNING MINDRE ÄN 3 ÅR
659,OSPECIFICERAD HITHÖRANDE UTBILD NING MINDRE ÄN 3 ÅR
660,LÄKAREXAMEN/MED LIC OSPEC
661,LÄKARUTBILDNING MED SPECIALIST KOMPETENS
662,TANDLÄKARUTBILDNING
663,"SJUKSKÖTERSKE-, BARNMORSKE ARBETSTERAPEUTOCH SJUKGYMNAST UTBILDNING. OPTIKERUTBILDNING. (yrkesexamina enl högskole förordningen 1993, omfatt. minst 120 p)"
664,APOTEKARUTBILDNING OCH FARM MAG UTBILDNING
665,PSYKOTERAPIUTBILDNING
666,"LOGOPEDUTBILD. PÅBYGGNADSUTBILDNINGTILL HÄLSOOCH SJUKVÅRDSLINJEN, REHABILITERINGSLINJEN OCH LABORATORIEASSISTENTLINJEN."
667,VETERINÄREXAMEN. VET MED LIC
668,KANDIDATEXAMEN
669,OSPECIFICERAD HITHÖRANDE UTBILD NING 3 ÅR ELLER LÄNGRE
670,MED DOKTORSGRAD ENL ÄLDRE SYSTEM
671,ODONT DOKTORSGRAD ENL ÄLDRE SYSTEM
672,FARM LIC UTBILDNING
673,FARM DOKTORSGRAD ENL ÄLDRE SYSTEM
674,VET MED DOKTORSGRAD ENL ÄLDRE SYSTEM
