code,label,label_en,parent_code,valid_from,valid_to
137D,Sena effekter av tuberkulos i skelett och leder,,,,
137E,Sena effekter av tuberkulos i andr spec organ än 137A-D,,,,
138X,Sena effekter av polio,,,,
139A,Sena effekter av virusencefalit,,,,
139B,Sena effekter av trakom,,,,
139W,Sena effekter av andra o icke spec inf sjd o parasitsjd,,,,
140A,"Malign tumör i överläppen, inom läpprödsgränsen",,,,
140B,"Malign tumör i underläppen, inom läpprödgränsen",,,,
140D,Malign tumör på överläppens insida,,,,
140E,Malign tumör på underläppens insida,,,,
140F,Malign tumör på insidan av läpp UNS,,,,
140G,Malign tumör i läppkommissuren,,,,
140W,Malign tumör med annan lokalisation i läpp,,,,
140X,Malign tumör inom läpprödsgränsen på läpp UNS,,,,
141A,Malign tumör på tungbasen,,,,
141B,Malign tumör på tungans översida,,,,
141C,Malign tumör i tungspetsen och tungranden,,,,
141D,Malign tumör på tungans undersida,,,,
141E,Malign tumör i de främre två tredjedelarna av tungan,,,,
141F,Malign tumör i tungans mellanzon,,,,
141G,Malign tumör i tungtonsillen,,,,
141W,Malign tumör med annan lokalisation i tungan,,,,
141X,"Malign tumör i tungan, ospecificerad",,,,
142A,Malign tumör i parotiskörteln,,,,
142B,Malign tumör i submandibulariskörteln,,,,
142C,Malign tumör i sublingualiskörteln,,,,
142W,Malign tumör med annan lokalis i stora spottkörtlarna,,,,
142X,Malign tumör med icke spec lokal i stora spottkörtlarna,,,,
143A,Malign tumör i överkäkstandköttet,,,,
143B,Malign tumör i underkäkstandköttet,,,,
143W,Malign tumör med annan lokalisation i tandköttet,,,,
143X,Malign tumör med icke specif lokalisation i tandköttet,,,,
144A,Malign tumör i munbottnens främre del,,,,
144B,Malign tumör i munbottnens laterala del,,,,
144W,Malign tumör i munbottnen utom 144A-B,,,,
144X,Icke specificerad lokalisation av munbottenstumör,,,,
145A,Malign tumör i kindslemhinnan,,,,
145B,Malign tumör i muningången,,,,
145C,Malign tumör i hårda gommen,,,,
145D,Malign tumör i mjuka gommen,,,,
145E,Malign tumör i uvula,,,,
145F,"Malign tumör i gom, ospecificerad",,,,
145G,Malign tumör i retromolara området,,,,
145W,Malign tumör i munhålan,,,,
145X,"Malign tumör i munhålan, ospecificerad",,,,
146A,Malign tumör i tonsill,,,,
146B,Malign tumör i fossa tonsillaris,,,,
146C,"Malign tumör i gombågar (främre, bakre)",,,,
146D,Malign tumör i vallecula epiglottica,,,,
146E,Malign tumör på linguala ytan av epiglottis,,,,
146F,Malign tumör mellan orofarynx och epiglottis,,,,
146G,Malign tumör i laterala väggen av orofarynx,,,,
146H,Malign tumör i bakre väggen av orofarynx,,,,
146W,"Malign tumör i orofarynx, utom 146A-H",,,,
146X,Malign tumör med icke spec lokalisation i orofarynx,,,,
147A,"Malign tumör i rinofarynx, övre väggen",,,,
147B,"Malign tumör i rinofarynx, bakre väggen",,,,
147C,"Malign tumör i rinofarynx, sidoväggen",,,,
147D,"Malign tumör i rinofarynx, främre väggen",,,,
147W,"Malign tumör i rinofarynx, utom 147A-D",,,,
147X,Malign tumör med icke specif lokalisation i rinofarynx,,,,
148A,"Malign tumör i hypofarynx, postkrikoidala rummet",,,,
148B,"Malign tumör i hypofarynx, fossa piriformis",,,,
148C,"Malign tumör i hypofarynx, aryepiglottiska vecket",,,,
148D,"Malign tymör i hypofarynx, bakre hypofarynxväggen",,,,
148W,"Malign tumör i hypofarynx, utom 148A-D",,,,
148X,"Malign tumör i hypofarynx, icke spec lokalisation",,,,
149A,"Malign tumör i farynx, ospecificerat",,,,
149B,Malign tumör i Waldeyers ring,,,,
149W,"Mal tumör i läpp, munhåla och svalg, utom 140-149B",,,,
149X,"Mal tumör i läpp, munhåla o svalg, ofullständ angiv lok",,,,
150D,"Malign tumör i matstrupen, övre delen",,,,
150E,"Malign tumör i matstrupen, mellersta delen",,,,
150F,"Malign tumör i matstrupen, nedre delen",,,,
150W,"Malign tumör i matstrupen, multipel lokalis",,,,
150X,"Malign tumör i matstrupen, icke specificerad lokalisat",,,,
151A,Malign tumör i kardia,,,,
151B,Malign tumör i pylorus,,,,
151C,Malign tumör i antrum ventriculi,,,,
151D,Malign tumör i fundus ventriculi,,,,
151E,Malign tumör i corpus ventriculi,,,,
151F,"Malign tumör i curvatura minor, ospecificerad",,,,
151G,"Malign tumör i curvatura major, ospecificerad",,,,
151W,Malign tumör i magsäcken utom 151A-G,,,,
151X,"Malign tumör i magsäcken,icke specificerad lokalisation",,,,
152A,Malign tumör i duodenum,,,,
152B,Malign tumör i jejunum,,,,
152C,Malign tumör i ileum,,,,
152D,Malign tumör i Meckels divertikel,,,,
152W,"Malign tumör i tunntarmen, utom 152A-D",,,,
152X,"Malign tumör i tunntarmen, icke spec lokalisation",,,,
153A,Malign tumör i flexura hepatica,,,,
153B,Malign tumör i colon transversum,,,,
153C,Malign tumör i colon descendens,,,,
153D,Malign tumör i sigmoideum,,,,
153E,Malign tumör i caecum,,,,
153F,Malign tumör i appendix,,,,
153G,Malign tumör i colon ascendens,,,,
153H,Malign tumör i flexura lienalis,,,,
153W,"Malign tumör i tjocktarmen, utom 153A-H",,,,
153X,"Malign tumör i tjocktarmen, icke spec lokalisation",,,,
154A,Malign tumör i flexura rectosigmoidea,,,,
154B,Malign tumör i rektum,,,,
154C,Malign tumör i analkanalen,,,,
154D,"Malign tumör i anus, ospecificerad",,,,
154W,"Malign tumör i  ändtarmen, utom 154A-D",,,,
155A,"Malign tumör i levern, primär tumör",,,,
155B,Malign tumör i intrahepatiska gallgångarna,,,,
155C,"Malign tumör i levern, icke spec som primär el sekund",,,,
156A,Malign tumör i gallblåsan,,,,
156B,Malign tumör i extrahepatiska gallgångarna,,,,
156C,Malign tumör i ampulla Vateri,,,,
